RT	Window.Low	Window.High	204.087
0.142782	500.477	505.48	0
0.142951	505.48	510.482	0
0.143122	510.482	515.484	0
0.143311	515.484	520.486	0
0.143507	520.486	525.489	0
0.143696	525.489	530.491	0
0.143885	530.491	535.493	0
0.144074	535.493	540.496	0
0.144248	540.496	545.498	0
0.144412	545.498	550.5	0
0.144601	550.5	555.502	0
0.144815	555.502	560.505	0
0.145004	560.505	565.507	0
0.14517	565.507	570.509	0
0.145362	570.509	575.511	0
0.145526	575.511	580.514	0
0.145718	580.514	585.516	0
0.145884	585.516	590.518	0
0.146073	590.518	595.521	0
0.146262	595.521	600.523	0
0.146426	600.523	605.525	0
0.14659	605.525	610.527	0
0.146754	610.527	615.53	0
0.146918	615.53	620.532	0
0.147082	620.532	625.534	0
0.147271	625.534	630.536	0
0.14746	630.537	635.539	0
0.147625	635.539	640.541	0
0.147813	640.541	645.543	0
0.147977	645.543	650.546	66.4729
0.148141	650.546	655.548	0
0.14833	655.548	660.55	0
0.148494	660.55	665.552	0
0.148658	665.552	670.555	0
0.148847	670.555	675.557	0
0.149036	675.557	680.559	0
0.149229	680.559	685.561	0
0.149417	685.561	690.564	0
0.149608	690.564	695.566	0
0.149798	695.566	700.568	0
0.149987	700.568	705.571	0
0.150177	705.571	710.573	0
0.150341	710.573	715.575	0
0.150532	715.575	720.577	0
0.150696	720.577	725.58	0
0.15086	725.58	730.582	116.533
0.151034	730.582	735.584	0
0.151339	735.584	740.587	0
0.151527	740.587	745.589	0
0.152477	745.589	750.591	0
0.152691	750.591	755.593	0
0.15288	755.593	760.596	0
0.153094	760.596	765.598	0
0.153283	765.598	770.6	0
0.15345	770.6	775.602	0
0.153641	775.602	780.605	0
0.15383	780.605	785.607	150.354
0.154023	785.607	790.609	0
0.154187	790.609	795.612	0
0.154376	795.612	800.614	0
0.15454	800.614	805.616	0
0.154729	805.616	810.618	0
0.154918	810.618	815.621	0
0.155082	815.621	820.623	0
0.155271	820.623	825.625	0
0.15546	825.625	830.627	0
0.155649	830.627	835.63	0
0.155838	835.63	840.632	0
0.156002	840.632	845.634	0
0.156166	845.634	850.637	0
0.156354	850.637	855.639	0
0.156529	855.639	860.641	117.969
0.156693	860.641	865.643	0
0.15686	865.643	870.646	0
0.157027	870.646	875.648	0
0.157193	875.648	880.65	252.093
0.15736	880.65	885.652	0
0.157554	885.652	890.655	96.6236
0.157718	890.655	895.657	123.234
0.157911	895.657	900.659	63.71
0.1581	900.659	905.662	0
0.158263	905.662	910.664	0
0.158427	910.664	915.666	0
0.158617	915.666	920.668	0
0.158805	920.668	925.671	167.229
0.158994	925.671	930.673	0
0.15917	930.673	935.675	0
0.159359	935.675	940.677	0
0.15955	940.677	945.68	0
0.159719	945.68	950.682	0
0.159908	950.682	955.684	0
0.160075	955.684	960.687	0
0.160242	960.687	965.689	0
0.160409	965.689	970.691	0
0.160573	970.691	975.693	207.335
0.160762	975.693	980.696	93.3726
0.160951	980.696	985.698	209.754
0.161115	985.698	990.7	0
0.16128	990.7	995.702	0
0.161585	995.702	1000.7	171.07
0.161757	1000.7	1005.71	184.081
0.162725	1005.71	1010.71	0
0.162908	1010.71	1015.71	58.3169
0.163097	1015.71	1020.71	82.0569
0.163272	1020.71	1025.72	0
0.163445	1025.72	1030.72	74.2443
0.163623	1030.72	1035.72	91.1296
0.163797	1035.72	1040.72	234.83
0.163985	1040.72	1045.73	0
0.16416	1045.73	1050.73	217.769
0.164339	1050.73	1055.73	0
0.164528	1055.73	1060.73	88.4961
0.164704	1060.73	1065.73	71.0186
0.164877	1065.73	1070.74	69.1285
0.165051	1070.74	1075.74	0
0.165227	1075.74	1080.74	349.347
0.165433	380.423	385.425	96.6697
0.165599	385.425	390.427	0
0.165763	390.427	395.43	182.284
0.165927	395.43	400.432	0
0.166091	400.432	405.434	0
0.166305	405.434	410.436	0
0.166494	410.436	415.439	0
0.166662	415.439	420.441	0
0.166829	420.441	425.443	0
0.166997	425.443	430.446	0
0.167166	430.446	435.448	0
0.16733	435.448	440.45	0
0.167494	440.45	445.452	0
0.167683	445.452	450.455	149.724
0.167847	450.455	455.457	0
0.168011	455.457	460.459	0
0.168185	460.459	465.461	0
