,Subj1_0h,Subj1_6h,Subj1_6h_LPS,Subj1_24h,Subj1_24h_LPS,Subj1_48h,Subj1_48h_LPS,Subj2_0h,Subj2_6h,Subj2_6h_LPS,Subj2_24h,Subj2_24h_LPS,Subj2_48h,Subj2_48h_LPS,Subj3_6h,Subj3_6h_LPS,Subj3_24h,Subj3_24h_LPS,Subj3_48h,Subj3_48h_LPS,Subj4_0h,Subj4_6h,Subj4_6h_LPS,Subj4_24h,Subj4_24h_LPS,Subj4_48h,Subj4_48h_LPS,SPQC_3,SPQC_4,SPQC_5
Subject,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj1,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj2,Subj3,Subj3,Subj3,Subj3,Subj3,Subj3,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,Subj4,SPQC,SPQC,SPQC
Condition,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,0 h,06 h,06 h_LPS,24 h,24 h_LPS,48 h,48 h_LPS,SPQC,SPQC,SPQC
P05090,1221994.125,1217284.75,1223839.625,1160668.375,1182788.625,1124981.875,1176050.25,1889694.875,1881490.625,1866794.375,1866380.875,1815804.5,1855259.625,1813351.125,2066277.125,2032825.25,1977288.625,1972938.375,2034113,2216010.5,1138737.375,1124739.125,1127679.75,1087804.25,1088877.875,1051439.5,1081735.5,1480717.75,1494479.375,1476408
P05106,8600.907227,10865.73438,14001.62402,11198.85059,12101.53418,12307.53516,15693.94141,11647.11426,19125.59375,26372.94727,19602.54297,23885.66602,15846.78418,26634.37305,19114.08594,22960.90625,13561.40234,17473.17773,13283.16113,20084.50977,13018.0625,21887.75586,30019.34961,19178.55273,28160.12109,20330.94141,30677.93164,16640.1543,17403.41992,17669.13672
P05109,3164.257324,6178.821289,5016.154297,19703.27344,13244.39746,46909.95703,67920.19531,4725.803711,4324.226074,4431.182617,13812.40527,10498.04102,63733.61328,38487.09766,4508.373047,4200.1875,11253.12988,7929.996582,36748.16406,43003.82422,5726.660645,6075.768066,7163.263672,13036.43359,12156.38086,36894.95313,64681.03906,35527.35938,34798.85156,34921.74609
P05154,128309.5547,123600.7422,120985.9063,109257.6406,111494.375,97685.13281,99447.32813,123438.7031,117354.5313,118024.2656,107856.5391,102365.4688,94476.4375,95413.02344,121898.2188,122110.3672,110003.8438,111047.1641,98250.96875,107253.5938,123480.625,118064.8672,115253.0547,109402.6953,108007.0781,102480.9844,97804.82031,105470.5078,103835.9922,104866.3594
P05155,2395845.25,2280384,2209854.5,2042088.625,2101883,1908667.75,1993480.75,2421120.25,2323965.5,2315963.25,2196101,2173591.5,2207255,2214018.75,2802072.75,2771518.75,2542817,2568186.25,2598860.25,2804633.5,2866754.5,2682722,2631644.5,2470908.25,2420442.5,2260074.75,2304792.5,2418497,2402083.75,2391304.75
P05156,1019446.563,1009036.375,1018603.438,957085.625,972646.75,899216.1875,832796.5625,848868.4375,825919,818634.25,844421.75,823323.25,776135.25,759622.875,832261.3125,827131.75,810815.3125,820518.5,737849.3125,657080.0625,906932.5625,894651.5625,889066.375,864108.4375,896456.4375,822231.3125,830763.1875,781649,755457.9375,756275.375
P05160,100845.9297,100985.0938,101314.7422,97487.625,100969.7891,96252.85156,84253.66406,127463.5859,122215.0938,122113.4688,122322.6172,120091.9922,119258.0469,119950.7031,117240.1328,116468.125,117628.4297,113484.1953,103434.4844,75353.30469,136621.0469,134219.7969,132667.4063,131605.3125,132214.3125,129938.6406,129661.3672,103224.2891,105226.4375,102722.7734
P05164,22218.87305,53879.83594,58342.73438,57878.67188,63103.60156,68921.99219,83630.34375,9309.564453,26558.45508,34466.13672,31274.3125,36151.14063,63917.13281,42543.76563,38156.48438,40919.53516,43424.88672,49740.10938,48352.66406,58607.69531,10366.47949,38671.87891,53343.66406,48297.29688,71391.05469,56419.17188,84384,47802.17578,49395.45703,46574.92969
P05451;P48304,10361.25684,8357.145508,9876.211914,8619.352539,10551.15527,7824.04541,5383.470215,5648.321777,5027.181152,3263.003906,5842.827637,5462.790527,3671.576904,5431.002441,3298.348877,3215.916504,3403.151611,2307.807373,2892.861084,1415.619263,4236.804199,2877.257813,1969.322632,4496.63623,3575.071777,6109.762695,4473.211426,4344.069824,2476.92627,3875.527832
P05452,106322.4063,103757.8594,102255.3828,101231.9922,101084.4141,95684.69531,94257.03125,134744.5313,133310.6875,132474.1094,129869,124481.9688,124883.7734,122479.7344,130140.4063,128316.3281,124200.8984,122307.625,117807.4531,108728.3984,111442.8594,109279.4297,103897.6406,110608.1016,104359.0156,98710.08594,95878.875,112324.4141,104473.0703,109076.7813
P05543,90969.75781,92970.42969,92283.07813,91179.75781,88927.32813,93809.30469,96219.64063,124621.4297,127645.1484,122529.4688,120519.5156,116371.9922,120412.3984,119842.2656,106859.3281,105678.4063,103464.0234,101113.3828,107940.0078,107245.1875,120474.2656,116423.3906,118720.9609,115681.4922,114345.6563,111266.4063,107716.4609,107618.1406,108113.8828,106724.3906
P05546,572272.125,583496.25,566785.5,575257.4375,572859.5625,577188.125,576296.125,679503.5,694713.75,674557.3125,694132.375,672668,689778.875,665070.6875,745731.0625,747094.625,731399.6875,753927.25,775934.6875,775496.75,736283.125,736570.25,726882.625,767134.9375,729196.125,727484,713981.5,683422.4375,655065.1875,656619
P05556,2814.514648,4269.456055,3783.069824,3229.812988,3289.093262,1701.374146,NA,6270.46582,6075.60791,7390.054199,5742.345703,6564.174316,5295.685059,3922.710693,3565.442871,4045.599609,4414.741211,3544.992676,2870.147217,2029.185059,4057.544434,6156.838867,5923.772949,5199.762695,5122.747559,3484.369873,4332.244141,5026.871582,3242.637695,3755.703125
P06276,54365.34375,56002.375,57106.86719,52957.51563,52347.00391,55394.67969,58071.12891,45089.25391,46288.52734,47711.05859,48363.13281,45694.72266,49449.30469,47877.96094,48336.875,50114.97656,49887.07422,48988.66016,51600.66797,54198.91406,49530.57031,51322.78125,47112.67188,49103.29688,46809.3125,47879.45703,50231.95703,51566.42969,51888.87109,52432.1875
P06312,3557974.75,3552362.75,3573781,3871207,3699812,4078775.25,4362456.5,4636013,4730711.5,4902463.5,4936420.5,4875797,5738450.5,5478776,3840090.25,3867347.25,3941626.5,3913482.75,4883418,4652027.5,3171437.5,3231209.25,3340622.25,3778626,3381052.5,3545741.5,3393758.5,4714734,4448211.5,4627352.5
P06331,49514.94141,49190.34766,49256.30469,46966.82031,45775.62891,46136.30859,49042.01172,42340.13672,45241.51953,43792.44531,43280.36719,45552.39063,45509.53516,46866.5625,36077.05469,35931.29297,34172.65625,35541.85938,33611.91797,35593.52344,31673.98633,32827.16406,32136.55469,31802.78125,30661.66211,33363.73047,33945.11328,41125.33594,39256.73828,39029.37109
P06396,1217154.875,1207163.5,1218720.625,1198085.25,1203781.625,1165336.25,1214523.75,1622870.25,1582858.75,1566066.5,1569997.25,1556500.25,1557943.125,1545804.75,1630947.25,1625909.875,1607208.375,1602618.25,1654613.375,1730560.25,1359772.625,1359721.5,1350978.375,1329078.75,1307169.875,1279783.375,1310505.25,1421272.375,1415256.875,1445183.375
P06681,286523.5938,287943.4063,280625.7188,276574.9688,284503.8125,280188.25,281479.5313,217471.7813,217802.7656,214394.3125,212104.7344,209901.125,208845.9063,211889.8906,269345.4063,265262.5938,258809.8594,256213.7656,269690.25,262403.4688,284138.0313,278078.0625,275952.0625,276642.6563,279855.5938,269353.3125,271097.5,253242.9844,256999.8594,252101.0625
P06702,4621.384277,8333.509766,8306.24707,33034.08203,24796.05859,76853.34375,109211.9844,5966.472168,7161.240234,9025.557617,23235.87695,15547.9834,98884.35156,66273.03906,7018.689941,5886.86084,20604.35352,11453.7998,59829.21875,67845.9375,8623.09375,10191.69629,11028.3418,22447.64258,19488.88867,61411.74219,101446.1328,54370.60156,59251.83203,57976.74609
P06703,9306.241211,22700.05859,25619.85742,49704.10156,33897.24219,71289.21094,75909.21875,15820.43066,25241.47852,24059.18555,33442.42578,42208.00391,81272.14063,70747.14844,19398.46484,20618.51367,31354.02148,41216.42578,82605.11719,79187.82813,13547.74805,15640.44824,25089.83789,37881.66406,34783.9375,60650.70313,64148.97656,45215.44922,43755.375,42840.70703
P06727,1294363.875,1282289.875,1262739,1239990.25,1276637.25,1255736.75,1300943.875,1493808.625,1470346.75,1457463.375,1461702,1456905.5,1484575.875,1489128.125,1911399.75,1901903.5,1877730.875,1873542,1998110.25,2158953,1607331.625,1609462.75,1590312.75,1609706.25,1600530.125,1617356.5,1639481.5,1550956.625,1566899.5,1567558.5
P06733,7188.25293,9111.665039,11884.02441,18115.91992,14015.44336,26127.59766,29094.12109,13311.83984,13424.35059,16676.53711,20456.23633,21024.05859,38249.96484,31380.87891,13599.96582,18168.18555,18911.00977,18322.64648,27447.05078,33554.60938,13566.60742,16299.3252,24897.38867,21371.97461,24762.28906,26722.63281,37495.76953,19101.5332,18206.73047,19676.87305
P06744,695.6720581,1657.190674,2814.124023,5999.321777,645.5939941,7090.450195,11408.65234,3072.703125,3442.542236,3764.224121,4814.527832,4026.347412,16284.72363,9804.930664,2952.269531,4678.969727,5190.614746,2806.160156,7189.956543,5282.864258,2605.881836,3343.69165,5494.748047,5324.076172,6939.087402,8401.644531,14333.82617,4224.280273,4487.161133,6991.705566
P07195,12823.40625,16480.45313,18990.28711,21534.6543,16419.51953,26508.30469,31932.94922,21169.5957,23238.5,22170.38672,25242.00195,28160.67383,33950.78516,34319.03906,23798.1543,24725.41016,24998.71875,29639.31055,33973.77344,40433.18359,17826.39453,19759.98047,24464.85938,22911.57031,23386.13477,26863.17383,29725.26953,26267.78516,24642.22461,26289.63086
P07203,1320.147095,2247.918701,2294.746094,4989.163574,2716.487305,5908.866211,7037.757813,2179.557373,2222.879639,2492.393555,2044.162354,4612.23877,4965.819824,6212.723145,3240.726074,3256.726074,3735.987305,4961.230469,5486.041992,9297.408203,1507.950806,2246.576172,4324.205566,3359.991943,3221.045166,5549.504395,7812.946777,3073.459229,3690.162598,3579.501465
P07225,394535.25,390333.2813,376338.7813,358051.9063,368853.3438,350201.4375,341237.4688,341218.5938,337246.8125,333220.4375,322955.7188,313271.1563,308173.0313,304160.7188,337739.5,340484.9688,325566.0938,325291.5,308907.0313,279665.7813,361499.4063,347537.6875,345156.875,334401.1563,340005.25,327752.8438,313259.8125,314352,324287.7813,329162.1875
P07237,743.3213501,3672.477783,2647.893311,4050.378418,4014.041016,3663.217773,1345.444702,2438.70459,3366.492432,971.6490479,3381.221191,3113.025635,3115.987061,3236.407227,3004.960205,3786.380127,4115.843262,3473.085449,3966.484863,1147.274536,2621.48584,2270.411377,3438.414795,3581.523926,3600.800293,3495.046631,4450.316895,3583.822021,2921.45752,2675.524414
P07307,6390.460449,6569.876953,6604.313965,6405.179688,6204.640625,6222.570801,5723.726074,3722.459717,3939.725098,4701.904297,5400.666992,4003.974365,3815.545166,4808.520508,5892.155762,6339.960938,7110.624023,6660.305664,6196.656738,5959.948242,7426.463379,9071.941406,8290.702148,6438.766113,7541.095215,9226.796875,7715.891602,6927.868164,4030.371094,7039.119141
P07333,28987.86133,22496.80273,22219.5332,25939.86523,24947.31055,22945.6582,22730.31641,25905.24609,25489.18359,24136.95313,25165.41016,23582.92578,22605.45117,22749.17773,32138.32617,29574.64258,31625.54492,32679.41797,30555.08203,26129.2207,29081.80859,30200.11719,29643.58008,28893.70898,30280.14648,28908.7207,26678.29883,26357.68164,26625.20313,23743.48633
P07339,12132.3252,11070.97852,13478.41602,11005.82813,10516.4375,21990.90039,13852.99316,10070.00488,10932.36621,11581.79688,10983.03027,11105.46387,37696.31641,16560.67383,7690.793945,7246.90332,7903.521973,8045.235352,29170.00195,15369.92676,10647.65137,10034.30664,10861.00293,9353.318359,11473.55078,23628.66406,14433.84766,16233.82031,12394.18457,14763.48926
P07357,482859.3438,476027.5938,471782.8438,445186.5313,459989.4063,432834.8125,424746.625,387607.625,359795.3438,366186.9063,357527.2813,358178.9063,338347.5938,350547.9688,352402.4063,354696.5625,347277.9375,337151.125,327898.0625,317666.25,484240.4688,467202.0938,453328.6875,449465.5938,443182.5938,430940.875,426717.4063,393731.75,379353.6875,382509.7188
P07358,277137.9063,272454.6563,268385.375,257637.8125,257100.4219,269078.5313,276834.0625,210090.875,198810.125,202626.8438,198510.4688,196305.875,197115.125,204776.0938,200848.9688,196605.5,196079.5781,202634.2813,208200.8906,199462.5469,280169.7813,268368.9063,262701.75,265623.9375,259880.8594,262466.7813,264025.8125,241604.1094,240296.375,236861.2344
P07359,43924.75,47438.53125,44003.22266,54779.71094,48337.90234,57837.48047,61533.15234,51334.71875,67525.72656,74865.66406,73484.53125,81973.82813,67132.16406,76821.60156,66041.17188,71970.63281,70653.57031,61739.70703,67139.89844,61261.48438,59298.42578,67718.94531,78329.42188,75639.20313,85643.41406,80068.21094,87861.49219,61508.20313,70697.52344,70064.73438
P07360,134552.8438,137058.3125,133375.1563,130433.2813,130689.9844,130609.4609,132061.2031,117888.9375,115886.75,113182.9922,115080.5156,111793.4297,110876.9297,111448.8594,103050.7891,103041.3203,106006.4219,108741.5703,102711.1797,99140.35938,143875.375,145376.9531,139550.7813,147192.8438,142403.9844,140249.7344,139501.3906,116671.7344,116911.4766,118410.1563
P07437;P68371;Q13885;Q9BVA1,3008.273438,3015.825439,3436.551025,2754.854004,2089.471924,3367.858154,4207.727051,7529.449707,6791.69873,7565.40332,5483.773438,4989.51416,5845.256348,5286.422852,6435.054199,5536.256836,3663.320313,4994.393066,3836.373291,4578.597656,6014.557129,6244.533691,7225.287598,5213.68457,7041.89502,7428.871094,6933.480469,3090.270752,4478.163574,2087.340332
P07451,NA,2350.532715,NA,4731.936035,NA,5467.821777,7787.685059,NA,1877.151245,1273.428711,2341.9021,3612.420654,9875.119141,10400.43164,4418.525879,3709.979736,7202.109863,9629.464844,16949.66211,18337.02148,NA,NA,NA,3104.400879,NA,1063.932007,6732.510254,6249.47998,6758.010742,6185.591797
P07602,39881.15625,41841.93359,44305.60547,32689.88867,31015.39063,27621.82617,15436.14258,30154.47266,31997.4043,37768.55859,34381.73828,29553.54688,22591.37695,22634.88672,26581.88672,28671.31055,22566.60938,21668.36719,10494.35254,NA,24517.30078,28445.72852,21265.37109,22729.35938,29843.31641,24137.79102,22877.90234,16613.53906,18425.18945,14206.64063
P07737,32390.16211,47988.00391,52420.72656,83278.02344,74507.75781,111467.2578,130329.4844,55279.05859,111789.4141,127053.0391,138727.625,145919.3906,161080.7813,175555.0313,104765.9141,112517.9219,106082.7344,100056.2031,124536.3203,157284.7656,56037.96094,116039.1172,149927.0156,127716.125,153082.6875,160845.75,191723.2188,116765.3516,112366.0156,113914.7969
P07738,2792.564697,4160.699707,8857.541016,16890.50781,11680.80957,23729.69922,27783.08594,3858.779785,6370.26123,4950.911133,11271.79004,14540.6582,26710.11133,24191.92969,7939.223145,7143.321777,14475.56543,19834.48633,29756.96484,41881.60156,5664.524902,4612.505371,5264.977051,10269.6416,10379.49121,20338.44922,25161.63867,15580.41211,14643.07422,16381.33496
P07858,NA,NA,1412.040771,3535.637939,6346.756836,11270.41309,6736.542969,4493.540039,6250.853516,6164.358398,5553.045898,8245.417969,16859.91797,13799.7832,4036.961914,NA,4572.843262,5632.29248,12095.0918,6339.72998,5367.200684,6506.85791,5820.03418,5293.045898,5065.728027,18969.58398,6415.223633,7301.909668,4450.642578,6346.34375
P07996,107218.8828,171290.7969,209616.1563,169286.2188,181878.8594,167272.6563,174093.9219,127788.9453,217698.7969,284823.0625,214850.3906,283219.5625,187350.7656,270809.9063,228496.1406,248219.8438,206571,204011.6719,183103.4688,226318.7969,153811.4844,221554.5625,303193.2188,213865.0313,277955.6563,228265.5313,268911.875,197332.3281,191180.6406,196725.0625
P07998,17121.55273,15827.58203,15937.81934,15988.64941,15238.68066,13372.69238,9475.292969,21377.86719,20518.60352,18297.20117,19931.95313,17583.37695,19538.23438,17318.87305,16274.21875,17062.30469,15460.30273,14421.30566,11790.45801,11888.39941,19428.59961,19041.53711,17401.2207,18299.15625,19295.32617,18128.75977,16741.21875,15560.46777,13476.99219,11014.88477
P08185,471515.625,472444.9688,494302.4375,475399.4063,484062.0938,487875.7188,492646.7188,485362.7813,498320.0625,489121.5,488802.3438,491665,482994.2188,478981.9063,500207.4688,495677.9688,505240,506887.75,534682.3125,549072.6875,502363.4375,484658.3438,487883.875,495604.875,494168.8125,474482.0625,486131.6563,532306.5,522216.0313,519205.1563
P08246,12610.77051,38961.50391,42108.04297,42959.8125,40679.83594,51487.86719,55228.92969,4542.131348,21475.16992,25568.69727,24793.83398,29006.29688,48954.55078,32826.26953,32180.77148,37367.05859,36799.13672,42056.40234,39101.32813,40842.29688,5677.320801,26278.08008,37062.40625,32014.28711,45550.83203,38351.74219,56748.87891,32062.63477,30743.14453,33473.61328
P08294,5901.155762,3955.498291,3680.274414,3963.069336,4439.515137,3836.817627,4420.848633,7165.616211,8699.519531,9393.806641,9960.5,7996.496094,10446.72559,9698.136719,8049.611816,8781.678711,8475.00293,8446.204102,9394.764648,11515.35059,6637.314941,7829.690918,6870.644531,6426.175293,5735.52002,7016.106934,7163.757324,5793.754395,5881.591309,8582.283203
P08311,17854.48242,43275.32422,46311.39453,53712.28125,48835.33594,55876.19531,62084.16797,8503.608398,29157.73633,33745.82422,36400.38672,40670.48828,65326.62109,46459.47266,34161.35547,35268.27734,39658.21484,41696.80469,45885.43359,57998.88672,7299.196289,33801.04688,45999.72266,38239.15625,53387.07422,46487.95703,66962.17188,44903.8125,41729.71875,43907.86328
P08397,NA,939.3439331,1881.821411,3301.735107,3166.064453,5078.664063,8288.953125,NA,3338.290283,2127.39209,3284.714844,4731.963379,9999.523438,11358.55664,2347.704346,2065.003906,5610.337402,7316.079102,11877.68164,16740.63672,NA,NA,1994.59375,2725.532959,3041.223633,7514.035156,5259.654297,2950.660889,5049.108887,5404.776855
P08493,10852.09277,11498.95313,7571.307617,3965.787598,2979.443848,NA,NA,11785.12598,6429.843262,6966.271484,4127.745117,4057.434814,NA,NA,11939.15527,9757.433594,4453.746094,3061.065674,NA,NA,12620.09863,11438.89746,6718.155273,9079.9375,6465.628906,NA,NA,NA,3058.206787,NA
P08514,4647.173828,9718.235352,12024.66309,10943.38477,11167.2334,13583.39258,20756.33984,11099.53711,19941.4082,25278.56055,17282.6582,23685.69922,14843.36328,28655.7168,16027.60449,21734.63477,13970.7041,15752.8623,12537.27344,20320.35352,12701.00684,19157.88086,32044.15039,17169.33398,26827.60352,21499.00586,29507.56836,15479.70898,17930.20313,18034.71289
P08519,5340855,5008501.5,4985098,4874655.5,4952486.5,4692481,4478456.5,850987.625,759231.125,794198.4375,814068.125,789475.3125,702140.5625,779497.25,249754.9219,229184.2969,237471.7188,238989.7188,219653.0938,231441.7344,246882.6406,226334.1094,228934.0469,226616.4219,221555.4844,213088.875,244699.9844,1768956.5,1751646.875,1650070.25
P08567,4773.426758,7467.025879,7794.981445,9079.615234,7937.36377,8450.822266,11190.15918,6724.300293,11541.2627,14360.23047,11308.48242,13831.22949,8582.914063,14575.88379,8736.568359,11052.80762,8399.188477,6241.422363,7809.783203,10878.46875,9509.145508,15335.82227,21285.18945,10782.95605,16436.59766,12376.86035,14413.2041,11093.70898,10865.58398,11067.95605
P08571,65606.67188,65233.01563,67153.74219,64826.90625,66413.30469,65433.48438,65316.04688,76008.86719,74542.94531,73441.11719,74199.67188,73963.05469,74863.91406,72510.53906,69918.64844,71517.82813,71137.78125,70013.97656,69457.85156,67106.6875,64124.41406,64607.13672,63931.40625,64722.82031,64797.35156,67307.80469,67244.57813,64305.72266,65688.34375,68329.08594
P08603,2316301.25,2267221.75,2268875,2235293.75,2244461.75,2129927,1948039.125,2227221.25,2166891.25,2146673.25,2146890.75,2071018.125,2040703.5,2026207,2329365,2313904.75,2289161,2249204,2020692.125,1562397.875,2681123.5,2638964,2602043.25,2629426.25,2569719,2525736.5,2512214.75,2144606.5,2078450.5,2106694
P08637,36120.5625,33774.44531,35023.81641,32811.55078,36608.11719,38416.33203,39387.83984,31302.58008,37945.16406,35257.48438,38755.73047,38871.73828,34537.28125,34916.20313,24708.39648,29839.8125,25983.44727,28686.48438,28968.42969,29821.9082,32292.92578,27736.03906,34447.43359,35220.82422,36338.26172,33041.47656,40009.40234,36502.10547,35833.14063,35034.51953
